Value,Service
54490000,token
9230000,drive
972446,my-cbj-fg-600e
670055,members
570168,reporting
566345,rules
519984,okta
461733,calendar
372910,py-asu-fg100f
351653,uae-ssl-fg200f
236510,my-mlk-fg-90g
236067,mobile
192026,mt-bkr-fg-100f
168428,cy-lim-fg-90g
151817,reporting-events
108361,sn-dkr-fg-90g
83888,rapids_events
48665,crowdstrike
40488,uk-rg-fg-80f
30692,software
29836,sg-sgp-fg-80f
28569,fw_inet
27439,login
26884,hk-fg-80f
24353,portnox
23977,admin
16954,systems
14771,chrome
7729,dns_protection
5012,meet
3202,ips
3098,google.workspace.alert.center
2838,keep
1343,groups_enterprise
913,audit_events
718,events
519,zoho_mail_audit
502,upguard
494,quota_limit
471,chat
403,directory
355,1password
129,audit_trail
56,gcp
53,scim_provisioning
46,user_accounts
44,groups
22,saml
16,controld_logs
11,access_transparency
